role	materialized_index	source_split	source_index	problem_sha256	normalized_record_sha256	source_category
train	0	train	161909	5299b7259ba8750f00e2fae7f0be472aefc3bcfb8a47410815da03a9205a318f	da158cc8b3b8af8af05323832d1849298b4cb9d5d418f45cd34211f60d103969	cn_k12
train	1	train	229239	7725b5bf8245faa139294683a6f926012987ea287a4cdb232512893eac6ac0fb	b36ee88dd1e0fe9162f4c77e9a1ee50fdcfce950e076813c3d4226ea3bfe637b	cn_k12
train	2	train	556106	0db48b6bb7ae152446633332770b99ba24ff6c176815e6d47d96ed1b0f219e2c	ed064fb7c78d762700af38fab5290e27759980f9068ab6a6d6a897645c6a64ab	cn_k12
train	3	train	260503	6449fc68f31095cf78f4a7514483a4a0c225eadec7c60658d4e0831508e155a4	f8915c5159e62a70dbd3a5c23b239062356985189193ee9e68782957bc30e9cd	cn_k12
train	4	train	108582	52a0660cf4d50d6f4494fbda9c0a81d7ac47ae4da3bf7fe800c63579334d0ad2	d1daff1e8e0e7609870dc9aee8acc6beb1be15f85b1a39113aff390429fe59d7	cn_k12
train	5	train	543089	864f9ddeec0e8e721dab65d5cbb4287fd4dab1145a9f871374874f49a82dc2ac	3b567dd062a0a69eb4566817f83535e4b1ef4619acf6c57e71396466f1e5da3d	synthetic_math
train	6	train	456236	d54d19b860518ac089b9e0331143850530a8adda6706f92eecba2f0fcafd17fd	9a8561bd86c4c03d4c82f1acb02a0283047c83c7f6cf9ebce4df4ff4417de3ac	cn_k12
train	7	train	173372	036cec1542a3dcf1671b64599f0b0310ffda9ea07cd7a0e02b2c5393e8f79185	6685eb6033e52a82bd9fb112533db0c788c3a69fd31d80d214e7c036da154928	olympiads
train	8	train	496427	82d069f5e93419ad1e7746d7c099b3ead583bd691c902c26a77697bcb35b5b49	58a76320460c310e476eba4e7d11a9370b6e486646ba8e736f5fc924f4184f53	olympiads
train	9	train	758292	612d93b85312d9dd4ec8974c5e58bad6d343de4352304c60d35327432b73c216	5acc92cf1d6fb6d2189add085bd8a1b8d831f79c1ea384274f740f968f4339fb	synthetic_amc
train	10	train	742589	4c6d2ff8a376b953473f0cec205e4bddac3489f2c820b6935a1676e12ac138bd	0e95279a9c274d265454e100fc08ba9c63898a95e5ac8b8b8b4acdaf54c01594	cn_k12
train	11	train	200436	43bf3a2613882e6f26e5098f4da237635472025b790de3e2e8a319d9d7e020c0	0961a8a8ccfa2efbe559fe6f8564619c7a60e8952dbed21f0fe969fc65984191	cn_k12
train	12	train	453335	d14d6fcccf4e07989cbd5d0a5d42d405e59498f34f11e2401f0b3b83914fc5ab	b3509d7cd1c4c7637aa833f2290dc8f85d99cd868e5bb0c7d34c9705cb3dc48f	synthetic_math
train	13	train	747120	d7785921f9956c457112c6ac6335dd5fe0ed25a6f8026a5c9d7b28fe3f22099e	fe5a159ad789acaa480506214a08cd6a9843ed57ae121878b1331084d1bd0343	olympiads
train	14	train	844595	5b591f8acc95a582cb3481781cf0d1aa305501d31de0732b7ede89ac43e12293	c7fcb7cc6907ba663c3a956a420e44273644d6fe5d8b7f597e7af5bf67e3d903	cn_k12
train	15	train	99046	d815b32206783e80af6622cd87a22c81d77cd421f5eb96ef2e3223f26a01f218	4ece001aab0ca5b5130ded6d20cb85aa831d90a426595fef23d16e472d6c6845	orca_math
train	16	train	670118	23daa7de7af021f54af1d22b465168e36047ffb74acbb192eeaa77032fface9e	2b93a465888ced69f95b2e7accd9908658b4645f6f08639e75dabd29074de0df	olympiads
train	17	train	355760	03a4488920b72f5aaf5623c9dd7a829c1c5c8393b380c7b77f2e36510d260b3f	24ed3b48a484a2fa74c48f1d931aaf2a53677c6cd98d25871eca6af464f64877	cn_k12
train	18	train	411381	1943de8bc997215f6dc983ecc1d09bead3304a0960646e071ff9c164d3612ece	455239e4c4f2ef78f34d2e984638d60e778943dc04fca99b34771c9e448df8a1	cn_k12
train	19	train	329743	0922134e4666c85ebd6e2cf7ddbbd04b0bb831f3b73115003b9c758985104342	aee35c38b59fe055ac0749a517586846c1527e83ae7ba5d0d40a8b416bd9b67e	orca_math
train	20	train	344894	ff156195b5e7598222a74da34861453b23497e3142f61630abade7c32a8d7bc5	c2f5ce61a44d3e9493c1a8624a4ad743dbaea24718e4370183d6c5ffb132db18	synthetic_math
